
self-flattering	A
self-flattery	N
self-flowing	A
self-focused	A
self-focusing	A
self-focussed	A
self-focussing	A
self-folding	A
self-fondness	N
self-forbidden	A
self-forgetful	A
self-forgetfully	v
self-forgetfulness	N
self-forgetting	A
self-forgettingly	v
self-formation	N
self-formed	A
self-forsaken	A
self-friction	N
self-frighted	A
self-fruition	N
self-fulfilling	A
self-fulfillment	N
self-furnished	A
self-gain	N
self-gauging	A
self-generated	A
self-given	A
self-giving	A
self-glazed	A
self-glazing	A
self-glorification	N
self-glorified	A
self-glorifying	A
self-glory	N
self-glorying	A
self-gotten	A
self-governing	A
self-government	N
self-gratification	N
self-gratulation	N
self-gratulatory	A
self-guard	N
self-guarded	A
self-guidance	N
self-hardened	A
self-hardening	A
self-harming	A
self-hate	N
self-hatred	N
self-healing	A
self-heating	A
self-help	N
self-hitting	A
self-holiness	N
self-homicide	N
self-honored	A
self-honoured	A
self-hope	N
self-humbling	A
self-humiliating	A
self-humiliation	N
self-hypnosis	N
self-hypnotic	A
self-hypnotism	N
self-hypnotized	A
self-identification	N
self-identity	N
self-idolater	N
self-idolatry	N
self-idolized	A
self-idolizing	A
self-ignite	i
self-ignited	i
self-igniting	i
self-ignition	N
self-ignorance	N
self-ignorant	A
self-illumined	A
self-illustrative	A
self-image	N
self-imitation	N
self-immolating	A
self-immolation	N
self-immunity	N
self-immurement	N
self-immuring	A
self-impairable	A
self-impairing	A
self-imparting	A
self-impedance	N
self-important	A
self-impregnated	A
self-impregnating	A
self-impregnation	N
self-impregnator	N
self-improvable	A
self-improvement	N
self-improver	N
self-improving	A
self-impulsion	N
self-inclosed	A
self-inclusive	A
self-incriminating	A
self-incrimination	N
self-incurred	A
self-indignation	N
self-induced	A
self-inductance	N
self-induction	N
self-indulgent	A
self-indulger	N
self-inflation	N
self-inflicted	A
self-infliction	N
self-initiated	A
self-initiative	A
self-injuries	N
self-injurious	A
self-injury	N
self-inoculated	A
self-inoculation	N
self-insignificance	N
self-inspected	A
self-inspection	N
self-instructed	A
self-instructing	A
self-instruction	N
self-instructor	N
self-insufficiency	N
self-insurance	N
self-insured	A
self-insurer	N
self-integrating	A
self-integration	N
self-intelligible	A
self-intensified	A
self-intensifying	A
self-interest	N
self-interested	A
self-interestedness	N
self-interpreted	A
self-interpreting	A
self-interpretive	A
self-interrogation	N
self-interrupting	A
self-intersecting	A
self-intoxication	N
self-introduction	N
self-intruder	N
self-invented	A
self-invention	N
self-invited	A
self-ionization	N
self-ironies	N
self-irony	N
self-issued	A
self-issuing	A
self-justification	N
self-justifying	A
self-killed	A
self-killer	N
self-killing	A
self-kindled	A
self-kindness	N
self-knowledge	N
self-lacerating	A
self-laceration	N
self-lashing	A
self-laudation	N
self-laudatory	A
self-leveler	N
self-leveling	A
self-leveller	N
self-levelling	A
self-levied	A
self-levitation	N
self-lighting	A
self-liking	A
self-limited	A
self-liquidating	A
self-loading	A
self-loathing	NA
self-locating	A
self-locking	A
self-love	N
self-lubricated	A
self-lubricating	A
self-lubrication	N
self-luminosity	N
self-luminous	A
self-maceration	N
self-made	A
self-mailer	N
self-maimed	A
self-maintained	A
self-maintaining	A
self-maintenance	N
self-making	A
self-manifest	A
self-manifestation	N
self-mapped	A
self-mastered	A
self-mastering	A
self-mastery	N
self-mate	N
self-matured	A
self-measurement	N
self-mediating	A
self-merit	N
self-minded	A
self-mistrust	N
self-mortification	N
self-mortified	A
self-motion	N
self-mover	N
self-moving	A
self-multiplied	A
self-multiplying	A
self-murder	N
self-murdered	A
self-murderer	N
self-mutilation	N
self-named	A
self-naughting	N
self-neglect	A
self-neglectful	A
self-neglecting	A
self-nourished	A
self-nourishing	A
self-nourishment	N
self-objectification	N
self-oblivion	N
self-oblivious	A
self-observation	N
self-observed	A
self-obsessed	A
self-obsession	N
self-occupation	N
self-occupied	A
self-offence	N
self-offense	N
self-offered	A
self-oiling	A
self-opened	A
self-opener	N
self-opening	A
self-operating	A
self-operator	N
self-opinionated	A
self-oppression	N
self-oppressive	A
self-oppressor	N
self-ordained	A
self-ordainer	N
self-originated	A
self-originating	A
self-origination	N
self-outlaw	N
self-outlawed	A
self-ownership	N
self-oxidation	N
self-paid	A
self-painter	N
self-pampered	A
self-pampering	A
self-panegyric	A
self-paying	A
self-peace	N
self-penetrability	N
self-penetration	N
self-perceiving	A
self-perception	N
self-perceptive	A
self-perfectibility	N
self-perfecting	A
self-performed	A
self-permission	N
self-perpetuating	A
self-perpetuation	N
self-perplexed	A
self-persuasion	N
self-pictured	A
self-pitiful	A
self-pitifulness	N
self-pity	N
self-pitying	A
self-pityingly	v
self-planted	A
self-player	N
self-playing	A
self-pleased	A
self-pleaser	N
self-pleasing	A
self-pointed	A
self-poisoner	N
self-policing	A
self-policy	N
self-politician	N
self-pollinated	A
self-pollination	N
self-pollution	N
self-posed	A
self-possessed	A
self-possession	N
self-posting	A
self-postponement	N
self-powered	A
self-praise	N
self-praising	A
self-precipitation	N
self-preference	N
self-preoccupation	N
self-preparation	N
self-prepared	A
self-prescribed	A
self-presentation	N
self-presented	A
self-preservation	N
self-pretended	A
self-pride	N
self-primed	A
self-primer	N
self-priming	A
self-prizing	A
self-proclaimed	A
self-proclaiming	A
self-procured	A
self-procurement	N
self-procuring	A
self-produced	A
self-production	N
self-professed	A
self-profit	N
self-projection	N
self-pronouncing	A
self-propagated	A
self-propagating	A
self-propagation	N
self-propelled	A
self-propulsion	N
self-proving	A
self-provision	N
self-punished	A
self-punisher	N
self-punishing	A
self-punishment	N
self-punitive	A
self-purifying	A
self-quotation	N
self-raised	A
self-raising	A
self-rating	A
self-reacting	A
self-reading	A
self-realization	N
self-reckoning	A
self-recollection	N
self-recollective	A
self-reconstruction	N
self-recording	A
self-recrimination	N
self-rectifying	A
self-reduction	N
self-reduplication	N
self-reference	N
self-refinement	N
self-refining	A
self-reflection	N
self-reflective	A
self-reform	N
self-reformation	N
self-refuted	A
self-refuting	A
self-regard	N
self-regarding	A
self-registering	A
self-registration	N
self-regulated	A
self-regulating	A
self-relation	N
self-reliance	N
self-reliant	A
self-reliantly	v
self-relish	N
self-renounced	A
self-renouncement	N
self-renouncing	A
self-renunciation	N
self-renunciatory	A
self-repeating	A
self-repellency	N
self-repellent	A
self-repose	N
self-representation	N
self-repressing	A
self-repression	N
self-reproach	N
self-reproachful	A
self-reproducing	A
self-reproduction	N
self-repulsive	A
self-reputation	N
self-resentment	N
self-resigned	A
self-resourceful	A
self-resourcefulness	N
self-respect	N
self-respecting	A
self-resplendent	A
self-responsibility	N
self-restoring	A
self-restraining	A
self-restraint	N
self-restricted	A
self-restriction	N
self-retired	A
self-revealed	A
self-revealing	A
self-revelation	N
self-reverence	N
self-reverent	A
self-righteous	A
self-righteously	v
self-righteousness	N
self-rigorous	A
self-rising	A
self-roofed	A
self-ruin	N
self-ruined	A
self-rule	N
self-sacrifice	N
self-safety	N
self-sanctification	N
self-satirist	N
self-satisfaction	N
self-satisfied	A
self-satisfying	A
self-scanned	A
self-schooled	A
self-schooling	A
self-scorn	N
self-scourging	A
self-scrutinized	A
self-scrutinizing	A
self-scrutiny	N
self-sealer	N
self-sealing	A
self-searching	A
self-security	N
self-sedimentation	N
self-sedimented	A
self-seeker	N
self-seeking	NA
self-sent	A
self-sequestered	A
self-service	AN
self-set	A
self-shadowed	A
self-shadowing	A
self-shelter	N
self-sheltered	A
self-shine	N
self-shining	A
self-significance	N
self-similar	A
self-sinking	A
self-slain	A
self-sold	A
self-solicitude	N
self-soothed	A
self-soothing	A
self-sophistication	N
self-sought	A
self-sounding	A
self-sovereignty	N
self-sown	A
self-spaced	A
self-spacing	A
self-speech	N
self-spitted	A
self-sprung	A
self-stability	N
self-stabilized	A
self-stabilizing	A
self-starter	N
self-starting	A
self-starved	A
self-steered	A
self-stimulated	A
self-stimulating	A
self-stimulation	N
self-strength	N
self-stripper	N
self-strong	A
self-stuck	A
self-styled	A
self-subdual	N
self-subdued	A
self-subjection	N
self-subjugating	A
self-subjugation	N
self-subordained	A
self-subordinating	A
self-subordination	N
self-subsidation	N
self-subsistence	N
self-subsistent	A
self-subsisting	A
self-subversive	A
self-sufficient	A
self-sufficiently	v
self-suggestion	N
self-support	N
self-supporting	A
self-suppressing	A
self-suppression	N
self-suppressive	A
self-survey	N
self-surveyed	A
self-surviving	A
self-survivor	N
self-suspended	A
self-suspicion	N
self-suspicious	A
self-sustained	A
self-sustaining	A
self-sustainment	N
self-sustenance	N
self-sustentation	N
self-sway	N
self-tapping	A
self-taught	A
self-taxation	N
self-taxed	A
self-teacher	N
self-teaching	A
self-tempted	A
self-tenderness	N
self-terminating	A
self-terminative	A
self-testing	A
self-thinning	A
self-thought	N
self-threading	A
self-tightening	A
self-tipping	A
self-tire	i
self-tired	i
self-tiring	i
self-tolerant	A
self-tolerantly	v
self-torment	N
self-tormented	A
self-tormenting	A
self-tormentingly	v
self-tormentor	N
self-torture	N
self-tortured	A
self-torturing	A
self-trained	A
self-training	N
self-transformation	N
self-transformed	A
self-treated	A
self-treatment	N
self-trial	N
self-triturating	A
self-troubled	A
self-troubling	A
self-trust	N
self-trusting	A
self-tuition	N
self-unconscious	A
self-understanding	N
self-understood	A
self-undoing	A
self-uniform	N
self-union	N
self-unity	N
self-unloader	N
self-unloading	A
self-unveiling	A
self-unworthiness	N
self-upbraiding	N
self-usurp	i
self-validating	A
self-valuation	N
self-valued	A
self-valuing	A
self-variance	N
self-variation	N
self-varying	A
self-vaunted	A
self-vaunting	A
self-vendition	N
self-ventilated	A
self-vexation	N
self-vindicated	A
self-vindicating	A
self-vindication	N
self-violence	N
self-violent	A
self-vivisector	N
self-vulcanizing	A
self-want	N
self-warranting	A
self-watchfulness	N
self-weariness	N
self-weary	A
self-weight	N
self-weighted	A
self-whipper	N
self-whipping	A
self-whole	A
self-will	N
self-willed	A
self-willedly	v
self-willedness	N
self-winding	A
self-wise	A
self-witness	N
self-witnessed	A
self-working	A
self-worn	A
self-worship	N
self-worshiper	N
self-worshiping	A
self-worshipper	N
self-worshipping	A
self-worth	N
self-worthiness	N
self-wounded	A
self-wounding	A
self-writing	A
self-written	A
self-wrong	N
self-wrought	A
selfheal	N
selfhood	N
selfhypnotization	N
selfish	A
selfishly	v
selfishness	A
selfless	A
selflessly	v
selflessness	N
selfmovement	N
selfness	N
selfrestrained	A
selfsame	A
selfsameness	N
selfseekingness	N
selfsufficiency	N
selfsustainingly	v
selfward	N
sell	VtiN
sell off	t
sell out	Vth
sell up	Vti
seller	N
selling	V
selling-plater	N
sellout	N
selsyn	N
selva	N
selvage	N
selves	N
sem	N
semainier	N
semainiers	N
semaise	N
semanteme	N
semantic	A
semantically	v
semanticist	N
semantics	N
semaphore	NV
semaphored	V
semaphoric	A
semaphorical	A
semaphoring	V
semasiologically	v
semasiologist	N
semasiology	N
sematic	A
sematology	N
semblable	AN
semblably	v
semblance	N
semeiologic	A
semeiological	A
semeiologist	N
semeiology	N
semeiotic	A
semel	v
sememe	N
semen	N
semester	N
semestral	A
semestrial	A
semi	N
semi-abstract	A
semi-abstraction	N
semi-aridity	N
semi-illiteracy	N
semi-illiterate	A
semi-illiterately	v
semi-illiterateness	N
semi-illuminated	A
semi-impressionistic	A
semi-independent	A
semi-independently	v
semi-indirect	A
semi-indirectly	v
semi-indirectness	N
semi-inductive	A
semi-indurate	A
semi-indurated	A
semi-industrial	A
semi-industrialized	A
semi-industrially	v
semi-inhibited	A
semi-insoluble	A
semi-instinctive	A
semi-instinctively	v
semi-instinctiveness	N
semi-intellectual	AN
semi-intellectualized	A
semi-intellectually	v
semi-intelligent	A
semi-intelligently	v
semi-internal	A
semi-internalized	A
semi-internally	v
semi-intoxication	N
semi-ironic	A
semi-ironical	A
semi-ironically	v
semi-isolated	A
semiRussian	AN
semiabsorbent	A
semiacademic	A
semiacademical	A
semiacademically	v
semiacetic	A
semiacid	A
semiacidic	A
semiacidified	A
semiacidulated	A
semiacrobatic	A
semiactive	A
semiactively	v
semiactiveness	N
semiadhesive	A
semiadhesively	v
semiadhesiveness	N
semiagricultural	A
semialcoholic	A
semiallegoric	A
semiallegorical	A
semiallegorically	v
semialuminous	A
semianaesthetic	A
semianalytic	A
semianalytical	A
semianalytically	v
semianarchism	N
semianarchist	N
semianarchistic	A
semianatomic	A
semianatomical	A
semianatomically	v
semiandrogenous	A
semianesthetic	A
semiangle	N
semiangular	A
semianimal	NA
semianimate	A
semianimated	A
semiannual	A
semiannually	v
semianthropologic	A
semianthropological	A
semianthropologically	v
semiaquatic	A
semiarchitectural	A
semiarchitecturally	v
semiarid	A
semiarticulate	A
semiarticulately	v
semiautomatic	AN
semiautomatically	v
semiautonomous	A
semibald	A
semibaldly	v
semibaldness	N
semibelted	A
semibiographic	A
semibiographical	A
semibiographically	v
semibiologic	A
semibiological	A
semibiologically	v
semiblasphemous	A
semiblasphemously	v
semiblasphemousness	N
semibleached	A
semiboiled	A
semibold	AN
semibouffant	A
semibourgeois	A
semibreve	N
semibureaucratic	A
semibureaucratically	v
semicabalistic	A
semicabalistical	A
semicabalistically	v
semicalcined	A
semicapitalistic	A
semicapitalistically	v
semicarbonate	A
semicaricatural	A
semicarved	A
semicatalyst	N
semicatalytic	A
semicathartic	A
semicellulose	N
semicellulous	A
semicentenaries	N
semicentenary	AN
semicentennial	AN
semichaotic	A
semichaotically	v
semichemical	A
semichemically	v
semicircle	N
semicircular	A
semicircularly	v
semicircularness	N
semicivilization	N
semicivilized	A
semiclassical	A
semiclassically	v
semiclerical	A
semiclerically	v
semiclinical	A
semiclinically	v
semiclosed	A
semicolloid	N
semicolloidal	A
semicolloquial	A
semicolloquially	v
semicolon	N
semicolonial	A
semicolonially	v
semicoma	N
semicomas	N
semicomatose	A
semicombined	A
semicomic	A
semicomical	A
semicomically	v
semicommercial	A
semicommercially	v
semicommunicative	A
semiconcealed	A
semiconditioned	A
semiconduction	N
semiconductor	N
semiconfinement	N
semiconformist	N
semiconformity	N
semiconical	A
semiconically	v
semiconscious	A
semiconsciously	v
semiconsciousness	N
semiconservative	A
semicontinuous	A
semicontinuously	v
semiconventional	A
semiconventionality	N
semiconventionally	v
semiconvergence	A
semiconvergent	A
semiconversion	N
semicordate	A
semicotton	N
semicretin	N
semicrystalline	A
semicultivated	A
semicultured	A
semicured	A
semicylinder	N
semicylindric	A
semicylindrical	A
semicynical	A
semicynically	v
semidaily	A
semidangerous	A
semidangerously	v
semidangerousness	N
semideaf	A
semidecadent	A
semidecadently	v
semidecay	N
semidecayed	A
semidefensive	A
semidefensively	v
semidefensiveness	N
semidefined	A
semidefinite	A
semidefinitely	v
semidefiniteness	N
semideification	N
semidelirium	N
semidemented	A
semidependence	N
semidependent	A
semidependently	v
semidesert	N
semidestruction	N
semidestructive	A
semidetached	A
semideterministic	A
semidiameter	N
semidiaphanous	A
semidiaphanously	v
semidiaphanousness	N
semidictatorial	A
semidictatorially	v
semidictatorialness	N
semidigested	A
semidiness	N
semidirect	A
semidisabled	A
semidiurnal	A
semidivided	A
semidivine	A
semidivision	N
semidivisive	A
semidivisively	v
semidivisiveness	N
semidome	N
semidomed	A
semidomestic	A
semidomestically	v
semidomesticated	A
semidomestication	N
semidormant	A
semidramatic	A
semidramatical	A
semidramatically	v
semidry	A
semidrying	N
semiductile	A
semidurables	N
semielastic	A
semielastically	v
semielevated	A
semielliptic	A
semielliptical	A
semiemotional	A
semiemotionally	v
semiempirical	A
semiempirically	v
semienclosure	N
semiepic	A
semiepical	A
semiepically	v
semierect	A
semierectly	v
semierectness	N
semiexclusive	A
semiexclusively	v
semiexclusiveness	N
semiexecutive	A
semiexhibitionist	N
semiexpanded	A
semiexpansible	A
semiexperimental	A
semiexperimentally	v
semiexposed	A
semiexpositive	A
semiexpository	A
semiexposure	N
semiexpressionistic	A
semiexternal	A
semiexternalized	A
semiexternally	v
semifiction	N
semifictional	A
semifictionalized	A
semifictionally	v
semifigurative	A
semifiguratively	v
semifigurativeness	N
semifinal	N
semifinalist	N
semifine	A
semifinished	A
semifitted	A
semifixed	A
semifloating	A
semifluid	AN
semifluidity	N
semiformal	A
semiformed	A
semifossilized	A
semifrontier	N
semifunctional	A
semifunctionalism	N
semifunctionally	v
semifurnished	A
semifused	A
semifuturistic	A
semigeometric	A
semigeometrical	A
semigeometrically	v
semiglaze	N
semiglazed	A
semiglobular	A
semiglobularly	v
semigod	N
semigovernmental	A
semigovernmentally	v
semigroup	N
semih	N
semihaness	N
semihard	A
semihardened	A
semiherbaceous	A
semiheretic	AN
semiheretical	A
semihibernation	N
semihistoric	A
semihistorical	A
semihistorically	v
semihostile	A
semihostilely	v
semihostility	N
semihumanism	N
semihumanistic	A
semihumanitarian	AN
semihumanized	A
semihyperbolic	A
semihysterical	A
semihysterically	v
semiintoxicated	A
semijocular	A
semijocularly	v
semijudicial	A
semijudicially	v
semijuridic	A
semijuridical	A
semijuridically	v
semilegendary	A
semilegislative	A
semilegislatively	v
semiliberal	AN
semiliberalism	N
semiliberally	v
semiliquid	AN
semiliquidity	N
semiliterate	A
semilucent	A
semiluminous	A
semiluminously	v
semiluminousness	N
semilunar	A
semilunate	A
semilunated	A
semiluxury	N
semilyric	A
semilyrical	A
semilyrically	v
semimagical	A
semimagically	v
semimagnetic	A
semimagnetical	A
semimagnetically	v
semimalicious	A
semimaliciously	v
semimaliciousness	N
semimalignant	A
semimalignantly	v
semimanagerial	A
semimanagerially	v
semimanneristic	A
semimanufactured	A
semimarine	AN
semimat	A
semimaterialistic	A
semimathematical	A
semimathematically	v
semimature	A
semimaturely	v
semimatureness	N
semimaturity	N
semimechanical	A
semimechanistic	A
semimedicinal	A
semimembranous	A
semimetallic	A
semimetaphoric	A
semimetaphorical	A
semimetaphorically	v
semimild	A
semimineral	A
semimineralized	A
semiminess	N
semiministerial	A
semimobile	A
semimoderate	A
semimoderately	v
semimonarchic	A
semimonarchical	A
semimonarchically	v
semimonopolistic	A
semimonthly	ANv
semimoralistic	A
semimountainous	A
semimountainously	A
semimystic	A
semimystical	A
semimystically	v
semimysticalness	N
semimythic	A
semimythical	A
semimythically	v
seminaked	A
seminal	A
seminar	N
seminarcotic	A
seminarial	A
seminarian	N
seminaries	N
seminarrative	A
seminary	NA
seminasal	A
seminasality	N
seminasally	v
semination	N
seminationalism	N
seminationalistic	A
seminationalized	A
seminervous	A
seminervously	v
seminervousness	N
seminess	N
semineurotic	A
semineurotically	v
semineutral	A
semineutrality	N
seminiferous	A
seminivorous	A
seminocturnal	A
seminoma	N
seminomad	N
seminomadic	A
seminomadically	v
seminomadism	N
seminomas	N
seminomata	N
seminormal	A
seminormality	N
seminormally	v
seminormalness	N
seminude	A
seminudity	N
semiobjective	A
semiobjectively	v
semiobjectiveness	N
semioblivious	A
semiobliviously	v
semiobliviousness	N
semiofficial	A
semiofficially	v
semiology	N
semiopacity	N
semiopen	A
semiopenly	v
semiopenness	N
semioptimistic	A
semioptimistically	v
semioratorical	A
semioratorically	v
semiorganic	A
semiorganically	v
semioriental	A
semiorientally	v
semiorthodox	A
semiorthodoxly	v
semiotic	A
semiotics	N
semioval	A
semiovally	v
semiovalness	N
semiovate	A
semioviparous	A
semioxygenized	A
semipacifist	AN
semipacifistic	A
semipagan	NA
semipaganish	A
semipalmate	A
semiparalysis	A
